XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
39.400002;0.058013588;0.080054834;-0.060819518;-0.050251737
39.5;0.057755757;0.079231516;-0.062015653;-0.05164684
39.599998;0.057311211;0.078172073;-0.063272573;-0.052867234
39.700001;0.056667738;0.076812632;-0.064634487;-0.05382688
39.799999;0.055834383;0.075108975;-0.066146448;-0.054478634
39.900002;0.054839674;0.073048681;-0.067835964;-0.05482427
40;0.053729527;0.070660025;-0.069696546;-0.054913916
40.099998;0.052564703;0.068014376;-0.071678936;-0.054835752
40.200001;0.051416442;0.065219387;-0.073694035;-0.054699205
40.299999;0.050359178;0.062403005;-0.07562805;-0.054615878
40.400002;0.049459625;0.059690472;-0.077366807;-0.05468259
40.5;0.048763417;0.057179626;-0.078822851;-0.054969177
40.599998;0.048281986;0.05492102;-0.079957433;-0.055512302
40.700001;0.047983613;0.052908998;-0.080790803;-0.056314904
40.799999;0.047792424;0.051087372;-0.081396639;-0.057349674
40.900002;0.047597546;0.049369227;-0.081881672;-0.058565259
41;0.047271952;0.047666095;-0.082355395;-0.059893802
41.099998;0.046697557;0.045918524;-0.082898468;-0.061259449
41.200001;0.04579071;0.044118889;-0.083538905;-0.062587544
41.299999;0.044521555;0.042319246;-0.08424332;-0.0638142
41.400002;0.042921845;0.040621132;-0.084926203;-0.064895466
41.5;0.041078836;0.039149646;-0.085475005;-0.06581451
41.599998;0.039116632;0.038019072;-0.08578413;-0.066585153
41.700001;0.037170053;0.03730021;-0.085787877;-0.067249909
41.799999;0.035358153;0.036999304;-0.085482977;-0.06787248
41.900002;0.033764575;0.037055049;-0.08493381;-0.068525299
42;0.032429628;0.037354693;-0.084258601;-0.069274873
42.099998;0.031355314;0.037764188;-0.083600491;-0.070168547
42.200001;0.030520357;0.038163006;-0.083091363;-0.071225874
42.299999;0.029899295;0.038472686;-0.082818851;-0.072437286
42.400002;0.029478453;0.038670175;-0.082805403;-0.073770143
42.5;0.029263057;0.03878215;-0.083004989;-0.075180411
42.599998;0.029272862;0.038862661;-0.083317921;-0.076626465
42.700001;0.029527802;0.038961947;-0.083618991;-0.078080751
42.799999;0.030028811;0.039097454;-0.083790824;-0.079535775
42.900002;0.030740941;0.039237157;-0.083753213;-0.081002913
43;0.031585414;0.039301489;-0.083480932;-0.082504585
