X a:y(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Y, a:z(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Z,
2.8206251,0.32038626,2.7846437
2.8256249,2.9390457,-1.1986012
2.8306251,2.8367612,-5.4004607
2.8356249,-1.9540704,-8.2750597
2.840625,-3.4500227,-9.784833
2.8456249,-3.9826367,-9.4427366
2.850625,-5.6790953,-8.2726917
2.8556249,-7.1662598,-6.6808362
2.860625,-9.4586306,-4.3623147
2.8656249,-7.8244138,-1.7844356
2.870625,-3.1655512,0.47819033
2.8756249,1.4089111,2.3348992
2.880625,4.6954117,3.5142574
2.8856249,6.7532525,3.664552
2.890625,9.3968811,2.9657915
2.8956251,13.745051,1.1191604
2.900625,15.316896,-0.59271455
2.9056251,15.218543,-2.8905582
2.910625,14.012465,-5.4272909
2.9156251,12.336397,-7.3690438
2.920625,13.911964,-7.2629657
2.9256251,15.001624,-5.0938864
2.930625,11.995765,-1.5402759
2.9356251,5.9841018,3.0657322
2.940625,-0.25507817,8.4902639
2.9456251,-5.7997017,13.953133
2.9506249,-10.044954,18.349695
2.9556251,-11.698935,21.071814
2.9606249,-10.108479,21.999327
2.965625,-6.1471219,21.097666
2.9706249,-1.4291173,18.106508
2.975625,2.9142547,13.21246
2.9806249,6.5944152,7.339076
2.985625,10.057221,1.3437496
2.9906249,11.132685,-5.0691342
2.995625,9.9023275,-11.417774
3.0006249,7.4830446,-16.592947
3.005625,1.9959333,-20.212448
3.0106249,-2.1365485,-21.473745
3.015625,-6.3930321,-20.521399
3.0206251,-14.337848,-17.144178
3.025625,-20.07111,-12.556808
3.0306251,-23.284163,-7.2951488
3.035625,-25.993267,-1.7683855
3.0406251,-27.41696,3.5456426
3.045625,-24.249723,7.8598742
3.0506251,-15.980657,10.572449
3.055625,-6.0874724,11.929556
3.0606251,3.8194225,12.192564
3.065625,11.593646,11.227719
3.0706251,16.570574,8.8028421
3.0756249,19.137791,5.103838
3.0806251,17.813494,1.3436848
3.0856249,11.476392,-2.0007668
3.090625,4.3351703,-5.0029306
3.0956249,-0.93258363,-7.6074548
3.100625,-4.8595686,-9.3438044
3.1056249,-7.9239931,-9.6938105
3.110625,-10.31462,-8.320755
3.1156249,-10.878641,-5.9566917
3.120625,-7.0143056,-2.9099982
3.1256249,2.3360734,0.71638978
3.130625,10.92701,4.0871496
3.1356249,13.063199,6.961226
3.140625,14.285427,9.3506947
3.1456251,15.835224,10.780836
3.150625,15.376408,10.832948
3.1556251,11.150391,9.1696272
3.160625,4.8202424,6.7536755
3.1656251,1.2947962,4.1668019
3.170625,-1.814847,1.4667143
3.1756251,-5.7428389,-2.2498665
3.180625,-9.0036469,-5.8512998
3.1856251,-9.493784,-8.4117937
3.190625,-7.5168896,-9.3052158
3.1956251,-8.0873785,-8.7722178
3.2006249,-4.3333917,-6.4125309
3.2056251,1.2781339,-3.4513526
3.2106249,4.1521149,-0.86610764
3.215625,2.1707141,0.78007078
3.2206249,1.1959404,2.4325354
3.225625,3.4539783,4.4381504
3.2306249,7.9395685,5.2254477
3.235625,10.954286,3.7646334
3.2406249,11.20718,0.72232687
3.245625,7.2067494,-2.354588
3.2506249,3.1116407,-5.4306273
3.255625,-2.1002755,-9.0952673
3.2606249,-3.5893021,-12.259225
3.265625,-4.1147323,-13.958763
3.2706251,-5.3869238,-13.847016
3.275625,-7.2479482,-11.991344
3.2806251,-8.3956318,-8.4817734
3.285625,-8.1733952,-3.4806747
3.2906251,-7.0980377,2.5422983
3.295625,-5.5617709,8.8095741
3.3006251,-3.386327,14.492105
3.305625,-0.78592771,18.938942
3.3106251,-1.4900974,22.045519
3.315625,-3.6535745,22.991814
3.3206251,-1.7620839,20.995153
3.3256249,1.0896814,16.63793
3.3306251,1.406261,10.500128
3.3356249,0.41366318,3.0104969
3.340625,1.1532584,-5.2640362
3.3456249,2.9403872,-13.218481
3.350625,5.7329192,-20.174734
3.3556249,5.2800322,-24.407776
3.360625,0.80867463,-25.557169
3.3656249,-3.9370854,-23.99892
3.370625,-7.2058229,-20.278948
3.3756249,-8.9356775,-14.663808
3.380625,-9.7287197,-7.742825
3.3856249,-9.591526,-0.4166376
3.390625,-9.1916199,6.2361841
3.3956251,-6.6215267,11.28578
3.400625,-2.2512543,14.524901
3.4056251,2.7431762,15.813076
3.410625,6.2280035,15.071651
3.4156251,9.4991369,12.47613
3.420625,13.567188,8.0025368
3.4256251,11.196224,2.5980248
3.430625,6.9964972,-3.0477867
3.4356251,4.0942955,-8.2237473
3.440625,0.25502008,-12.264046
3.4456251,-4.0297027,-14.008822
3.4506249,-5.4024396,-13.382523
3.4556251,-6.1020923,-10.638108
3.4606249,-7.1987729,-6.0654149
3.465625,-7.8124533,0.008524307
3.4706249,-7.1090899,6.9067841
3.475625,-4.3590131,13.736222
3.4806249,-0.62325239,19.246574
3.485625,1.5647544,22.624146
3.4906249,2.3503265,23.71682
3.495625,4.0062242,22.550499
3.5006249,6.6376576,19.200424
3.505625,8.7402267,13.848851
3.5106249,7.4024005,6.8537855
3.515625,4.3471956,-0.87206346
3.5206251,4.6305218,-8.2576733
3.525625,5.0093994,-14.811971
3.5306251,3.461251,-19.90926
3.535625,0.50929582,-22.740265
3.5406251,-1.5925405,-22.746935
3.545625,-2.7678459,-19.9701
3.5506251,-3.4831641,-14.834231
3.555625,-3.8923807,-7.9429388
3.5606251,-3.7813053,-0.052077599
3.565625,-3.1292245,7.8762813
3.5706251,-2.0278625,14.771358
3.5756249,3.0396578,20.05793
3.5806251,4.6302629,22.462488
3.5856249,4.6746988,21.981796
3.590625,6.2324171,18.455889
3.5956249,8.336731,12.107198
3.600625,10.012853,3.570683
3.6056249,11.135923,-5.9326739
3.610625,11.280865,-15.037516
3.6156249,9.5564308,-22.676311
3.620625,6.0003724,-28.121819
3.6256249,0.73254311,-30.913225
3.630625,-4.7548704,-30.980104
3.6356249,-8.6751432,-28.3864
3.640625,-9.5526705,-23.234135
3.6456251,-9.0226412,-15.891883
3.650625,-8.9035435,-7.0223699
3.6556251,-5.7798958,2.6774821
3.660625,-2.4692209,11.982649
3.6656251,-0.64376974,19.871042
3.670625,-0.077980191,25.740574
3.6756251,0.74566436,29.3512
3.680625,1.5088526,30.103251
