X a:y(Vehicle body) - Acceleration of point (0 0 0) of body Vehicle body relative to Base0  SC Base0  projection Y, a:z(Vehicle body) - Acceleration of point (0 0 0) of body Vehicle body relative to Base0  SC Base0  projection Z,
1.830125,2.9467223E-0008,0.018704951
1.835125,3.7738609E-0008,0.018510096
1.840125,4.5688932E-0008,0.018295696
1.845125,5.2493423E-0008,0.018062159
1.850125,5.7621161E-0008,0.017809926
1.855125,6.0828341E-0008,0.017539447
1.8601249,6.2181513E-0008,0.017251195
1.8651249,6.2019794E-0008,0.016945656
1.8701251,6.0764961E-0008,0.016623337
1.8751251,5.919421E-0008,0.016284754
1.880125,5.816079E-0008,0.01593044
1.885125,5.8166041E-0008,0.015560945
1.890125,5.9212454E-0008,0.015176824
1.895125,6.1001963E-0008,0.014778646
1.900125,6.3117589E-0008,0.014366988
1.905125,6.531647E-0008,0.013942445
1.910125,6.8251381E-0008,0.013505617
1.915125,7.2873462E-0008,0.013057117
1.920125,7.9745952E-0008,0.012597566
1.925125,8.8787942E-0008,0.012127599
1.930125,9.9240381E-0008,0.011647851
1.935125,1.1080694E-0007,0.011158974
1.940125,1.2448432E-0007,0.010661637
1.945125,1.4222744E-0007,0.010156527
1.950125,1.6310479E-0007,0.009644324
1.955125,1.7414423E-0007,0.0091255382
1.960125,1.6536748E-0007,0.0086007165
1.965125,1.3754824E-0007,0.0080704726
1.970125,9.6483319E-0008,0.0075354548
1.975125,4.9604921E-0008,0.0069963248
1.980125,4.5870538E-0009,0.0064537562
1.9851249,-3.1362067E-0008,0.0059084273
1.9901249,-5.5612933E-0008,0.0053610206
1.9951251,-6.7545948E-0008,0.004812228
2.0001249,-6.8812618E-0008,0.0042627472
2.005125,-6.1659726E-0008,0.0037132658
2.0101249,-4.7462795E-0008,0.0031644481
2.015125,-2.735913E-0008,0.002616941
2.0201249,-6.7709629E-0009,0.0020713676
2.025125,6.0320158E-0009,0.0015283362
2.0301249,1.1024132E-0008,0.00098844967
2.035125,1.0796223E-0008,0.00045230775
2.0401249,5.8255201E-0009,-7.9508929E-0005
2.045125,-3.4705419E-0009,-0.00060643337
2.0501249,-1.6448187E-0008,-0.0011279174
2.055125,-3.2024637E-0008,-0.0016434331
2.0601251,-4.7900098E-0008,-0.0021524683
2.065125,-6.1032289E-0008,-0.0026545199
2.0701251,-6.8024562E-0008,-0.0031490894
2.075125,-6.866884E-0008,-0.0036356875
2.0801251,-6.5443977E-0008,-0.0041138292
2.085125,-6.3353774E-0008,-0.0045830468
2.0901251,-6.5433468E-0008,-0.0050428873
2.095125,-7.1806618E-0008,-0.0054929163
2.1001251,-8.0732448E-0008,-0.0059327092
2.105125,-8.9815366E-0008,-0.0063618533
2.1101251,-9.7056649E-0008,-0.0067799441
2.1151249,-9.8726986E-0008,-0.007186587
2.1201251,-9.8341367E-0008,-0.0075814039
2.1251249,-1.050056E-0007,-0.0079640364
2.130125,-1.1133911E-0007,-0.0083341449
2.1351249,-1.1269564E-0007,-0.0086914115
2.140125,-1.1655241E-0007,-0.009035538
2.1451249,-1.2173685E-0007,-0.0093662394
2.150125,-1.1795906E-0007,-0.0096832495
2.1551249,-1.0688105E-0007,-0.009986314
