XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),
4.2918749,0,-0.0080890451
4.2958751,0,0.0015592324
4.3018751,0,0.0109122
4.3058748,0,0.030898642
4.3108749,0,-0.010622071
4.3158751,0,-0.0076766484
4.3208752,0,-0.014143674
4.3268752,0,-0.013886765
4.3308749,0,-0.011406953
4.335875,0,-0.01912209
4.3408751,0,-0.015904248
4.3458748,0,-0.0088363476
4.3518748,0,-0.0039807884
4.355875,0,-0.026302636
4.3608751,0,0.088099167
4.3658748,0,-0.011732475
4.3708749,0,0.0053959046
4.3768749,0,0.00015700975
4.3808751,0,0.00020859769
4.3868752,0,0.0061823893
4.3908749,0,0.0076578483
4.395875,0,0.0031778743
4.401875,0,0.018585796
4.4058752,0,0.01192202
4.4108748,0,0.030560698
4.415875,0,0.0024639103
4.4208751,0,-0.0068347934
4.4268751,0,0.00091368816
4.4308748,0,0.010185677
4.4368749,0,0.0047341469
4.4403749,0,-0.00077597942
4.445375,0,0.0032313406
4.4503751,0,-0.015614452
4.4553752,0,-0.0045491587
4.4613752,0,-0.0070229447
4.4653749,0,0.0025613168
4.471375,0,0.046883781
4.4753752,0,-0.0079651214
4.4803748,0,-0.01293289
4.4858751,0,0.010830041
4.4908748,0,-0.024750793
4.4958749,0,-0.017332274
4.5018749,0,-0.0124124
4.5058751,0,-0.0026844277
4.5108752,0,-0.04121067
4.5158749,0,0.012154836
4.520875,0,0.00037744999
4.526875,0,0.0013203865
4.5308752,0,0.0029805664
4.5358748,0,0.041140597
4.540875,0,-0.015607883
